Rank,Keyword,Mentions
1,startup,27
2,founder,14
3,funding,13
4,Apple,11
5,traditional,7
6,D2C,6
7,tribal,5
8,Nicobar,5
9,Reliance,5
10,luxury,5
11,rupee,4
12,artisan,4
13,Tata,4
14,carbon,4
15,distribution,3
16,pricing,3
17,venture capital,3
18,identity,3
19,status,3
20,D2C brand,2
21,community,2
22,exports,2
23,unicorn,2
24,profitability,2
25,positioning,1
26,manufacturing,1
27,inflation,1
28,heritage,1
29,Mahindra,1
30,nostalgia,1
31,aspiration,1
32,plastic waste,1
